Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
/,"199,472","105,537",0:00:23,"95,373",13.56%,20.64%,$0.00 
/animal-shelter/animals,"164,699","35,458",0:00:14,"13,635",0.12%,6.21%,$0.00 
/animal-shelter,"90,820","33,427",0:00:16,"28,948",0.34%,12.96%,$0.00 
/departments/hr/jobs,"88,402","27,365",0:00:18,"18,204",1.33%,17.28%,$0.00 
/utilities/pay-bill,"79,530","34,706",0:00:30,"18,960",1.39%,40.78%,$0.00 
/utilities,"78,059","36,720",0:00:18,"25,086",15.81%,11.70%,$0.00 
/services,"48,562","19,785",0:00:11,533,1.50%,5.16%,$0.00 
/city,"42,518","16,044",0:00:10,"1,318",0.15%,4.19%,$0.00 
/parks,"40,093","18,940",0:00:30,"14,255",12.33%,18.54%,$0.00 
/jobs,"37,238","21,059",0:00:37,"12,934",40.72%,30.30%,$0.00 
/police,"36,684","16,870",0:00:30,"15,328",14.32%,25.92%,$0.00 
/farmers-market,"36,317","15,446",0:00:31,"14,626",1.03%,33.73%,$0.00 
/parks/facilities/frank-southern,"31,887","12,297",0:00:29,"11,623",0.22%,29.24%,$0.00 
/sanitation/trash,"29,725","10,543",0:00:39,"6,407",0.53%,26.57%,$0.00 
/sanitation,"27,048","11,727",0:00:23,"7,313",4.88%,12.72%,$0.00 
/news,"25,406","9,881",0:00:20,521,0.96%,12.58%,$0.00 
/documents/viewDocument.php?document_id=70,"24,155","12,004",0:00:27,"11,381",11.88%,30.04%,$0.00 
/?really_want_to_view_full_site=1,"23,799","19,010",0:00:53,"18,718",43.17%,43.86%,$0.00 
/transportation/parking/downtown-parking,"23,644","9,706",0:00:40,"7,681",1.47%,32.61%,$0.00 
/parks/facilities/twin-lakes-recreation-center,"23,491","8,187",0:00:29,"7,246",0.99%,20.31%,$0.00 
/contact,"22,216","12,219",0:00:27,"2,992",15.57%,18.23%,$0.00 
/about,"20,534","7,998",0:00:17,426,1.17%,10.18%,$0.00 
/transportation/parking/pay-ticket,"19,923","8,919",0:00:28,"2,416",1.45%,41.49%,$0.00 
/volunteer,"18,902","9,597",0:00:56,"8,137",30.72%,42.04%,$0.00 
/annex,"17,406","7,051",0:02:18,"5,554",48.56%,36.16%,$0.00 
/council,"17,236","7,047",0:00:42,"3,535",16.60%,19.44%,$0.00 
